bank,0.11
cafe,0.02
commercial,0.006
community_group_office,0.02
convenience,0.04
embassy,0.006
government_office,0.1
hospital,0.04
industrial,0.013
mall,0.006
marketplace,0.046
office,0.02
police,0.02
post_office,0.013
Reflexology,0.006
restaurant,0.04
guru,0.418
subdistrict_office,0.006
supermarket,0.02
village_office,0.04
